ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2022;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.03;0.05;0.03;-0.64;Abaixo da média;0;
2022;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.74;0.76;0.34;-0.06;Na média;0;
2022;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;17.49;9.21;1.94;4.28;Alerta;0;
2022;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.11;0.17;-0.67;Acima da média;0;
2023;Financeiro;BCO BRASIL S.A.;roe;0.17;0.09;0.08;1.13;Acima da média;0;
2023;Financeiro;BCO BRASIL S.A.;margem_liquida;0.11;0.11;0.15;0.03;Na média;0;
2023;Financeiro;BCO BRASIL S.A.;nim;0.04;0.06;0.04;-0.34;Na média;0;
2023;Financeiro;BCO BRASIL S.A.;indice_eficiencia;0.94;0.91;0.52;0.05;Na média;0;
2023;Financeiro;BCO BRASIL S.A.;alavancagem;11.41;9.13;1.83;1.24;Alerta;0;
2023;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.0;0.09;0.1;-0.86;Acima da média;0;
2023;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.0;0.09;0.08;-1.11;Alerta;0;
2023;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.0;0.11;0.15;-0.71;Abaixo da média;0;
2023;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.04;0.06;0.04;-0.36;Na média;0;
2023;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;0.91;0.91;0.52;0.01;Na média;0;
2023;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;20.61;9.13;1.83;6.25;Alerta;0;
2023;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.0;0.09;0.1;-0.86;Acima da média;0;
2023;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.15;0.09;0.08;0.88;Acima da média;0;
2023;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.06;0.11;0.15;-0.3;Na média;0;
2023;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.03;0.06;0.04;-0.49;Na média;0;
2023;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.64;0.91;0.52;-0.52;Acima da média;0;
2023;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;18.53;9.13;1.83;5.12;Alerta;0;
2023;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.09;0.1;-0.86;Acima da média;0;
